CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-10-29 23:00:00,0.0,6195.0,2.0,9.0,1119204000.0,6184192000.0,34.0,58.0,46.0,257017401.3566923,255871456.78141966,295964.14497123583,293994.0272963635
2018-10-29 23:15:00,1.0,6105.0,0.0,9.0,1119252000.0,6184144000.0,35.0,59.0,46.2,237711504.77144548,236465722.75339934,276746.4476159944,274838.12593117025
2018-10-29 23:30:00,1.0,6036.0,1.0,9.0,1118896000.0,6184500000.0,35.0,59.0,46.3,220791355.23249546,219183443.3855454,254556.49224281643,252387.16733003934
2018-10-29 23:45:00,0.0,5999.0,0.0,9.0,1119140000.0,6184256000.0,34.0,58.0,45.9,195237343.0677377,194076157.57242033,231145.10540114064,229537.85800911818
2018-10-30 00:00:00,1.0,5959.0,0.0,9.0,1119024000.0,6184372000.0,34.0,58.0,46.0,176614072.14744335,175640423.2637905,203175.4053742839,201663.11338171212
2018-10-30 00:15:00,2.0,5894.0,1.0,9.0,1119092000.0,6184304000.0,35.0,57.0,46.0,163791509.12320396,163091873.0332614,190583.66868793417,189467.66264572504
2018-10-30 00:30:00,1.0,5855.0,2.0,9.0,1119124000.0,6184272000.0,34.0,58.0,45.7,143241530.81565776,142919027.34305388,168085.87119375248,167222.60190623754
2018-10-30 00:45:00,1.0,5805.0,4.0,9.0,1119380000.0,6184016000.0,34.0,58.0,45.8,121399682.04880545,121117481.74750732,145053.56587338573,144149.80540602468
2018-10-30 01:00:00,3.0,5795.0,1.0,9.0,1119440000.0,6183956000.0,35.0,58.0,45.8,106693523.61291434,106347726.68392344,125952.69009376966,125069.2490900078
2018-10-30 01:15:00,3.0,5725.0,2.0,9.0,1121040000.0,6182356000.0,34.0,58.0,45.7,95631209.27546759,95009699.81486547,113567.14242249643,112528.50892501268
2018-10-30 01:30:00,1.0,5690.0,3.0,9.0,1119588000.0,6183808000.0,34.0,58.0,45.7,87846757.71795675,87469496.56350283,104593.82115587716,103774.36462816746
2018-10-30 01:45:00,3.0,5704.0,2.0,9.0,1119628000.0,6183768000.0,34.0,57.0,45.5,77216753.47620538,77132921.93901284,92370.22884344429,91782.68121222466
2018-10-30 02:00:00,0.0,5694.0,0.0,9.0,1119764000.0,6183632000.0,33.0,58.0,45.4,64439177.67901096,64292521.96500863,78821.18270558139,78269.4851671929
2018-10-30 02:15:00,2.0,5680.0,0.0,9.0,1119848000.0,6183560000.0,34.0,58.0,45.5,58065920.01181331,57977261.44335421,71486.47661909615,71063.14983935458
2018-10-30 02:30:00,1.0,5672.0,0.0,9.0,1119876000.0,6183520000.0,34.0,58.0,45.6,55851433.51866857,55711692.217743255,72273.14142138544,71870.33950000608
2018-10-30 02:45:00,3.0,5653.0,1.0,9.0,1120100000.0,6183296000.0,34.0,58.0,45.7,52705872.02358303,52530962.07651307,70943.06618144014,70589.41093729202
2018-10-30 03:00:00,3.0,5639.0,1.0,9.0,1120076000.0,6183320000.0,34.0,57.0,45.4,48698125.95903627,48506337.01202643,62950.77114604586,62601.89092626453
2018-10-30 03:15:00,0.0,5633.0,2.0,9.0,1120148000.0,6183248000.0,34.0,58.0,45.4,46513837.4192228,46277931.092333,58785.73640444717,58124.19834409041
2018-10-30 03:30:00,1.0,5637.0,1.0,9.0,1120184000.0,6183212000.0,34.0,57.0,45.3,40415879.24108673,39938308.776882865,51730.40937168567,50935.289551851034
2018-10-30 03:45:00,0.0,5622.0,1.0,9.0,1120228000.0,6183168000.0,34.0,57.0,45.4,37413627.45533895,37168122.99352218,48348.772106096156,47632.79349960566
2018-10-30 04:00:00,6.0,5628.0,2.0,9.0,1120252000.0,6183144000.0,34.0,58.0,45.5,39408610.72944751,39196259.530582726,51498.445059434394,50852.91652581934
